Territory	Date	t	N	∆S(t)	∆I(t)	∆R(t)	∆D(t)
['Sudeste, SP, *']	2020-02-25	0	46289333	0	0	0	0
['Sudeste, SP, *']	2020-02-26	1	46289333	-1	1	0	0
['Sudeste, SP, *']	2020-02-27	2	46289333	0	0	0	0
['Sudeste, SP, *']	2020-02-28	3	46289333	0	0	0	0
['Sudeste, SP, *']	2020-02-29	4	46289333	-1	1	0	0
['Sudeste, SP, *']	2020-03-01	5	46289333	0	0	0	0
['Sudeste, SP, *']	2020-03-02	6	46289333	0	0	0	0
['Sudeste, SP, *']	2020-03-03	7	46289333	0	0	0	0
['Sudeste, SP, *']	2020-03-04	8	46289333	-1	1	0	0
['Sudeste, SP, *']	2020-03-05	9	46289333	-3	3	0	0
['Sudeste, SP, *']	2020-03-06	10	46289333	-4	4	0	0
['Sudeste, SP, *']	2020-03-07	11	46289333	-3	3	0	0
['Sudeste, SP, *']	2020-03-08	12	46289333	-3	3	0	0
['Sudeste, SP, *']	2020-03-09	13	46289333	0	0	0	0
['Sudeste, SP, *']	2020-03-10	14	46289333	-3	3	0	0
['Sudeste, SP, *']	2020-03-11	15	46289333	-11	11	0	0
['Sudeste, SP, *']	2020-03-12	16	46289333	-12	12	0	0
['Sudeste, SP, *']	2020-03-13	17	46289333	-14	14	0	0
['Sudeste, SP, *']	2020-03-14	18	46289333	-9	9	0	0
['Sudeste, SP, *']	2020-03-15	19	46289333	-71	71	0	0
['Sudeste, SP, *']	2020-03-16	20	46289333	-16	16	0	0
['Sudeste, SP, *']	2020-03-17	21	46289333	-12	12	0	1
['Sudeste, SP, *']	2020-03-18	22	46289333	-76	76	0	3
['Sudeste, SP, *']	2020-03-19	23	46289333	-46	46	2	0
['Sudeste, SP, *']	2020-03-20	24	46289333	-110	110	0	5
['Sudeste, SP, *']	2020-03-21	25	46289333	-63	63	0	6
['Sudeste, SP, *']	2020-03-22	26	46289333	-172	172	0	7
['Sudeste, SP, *']	2020-03-23	27	46289333	-114	114	0	8
['Sudeste, SP, *']	2020-03-24	28	46289333	-65	65	0	10
['Sudeste, SP, *']	2020-03-25	29	46289333	-52	52	1	8
['Sudeste, SP, *']	2020-03-26	30	46289333	-190	190	0	10
['Sudeste, SP, *']	2020-03-27	31	46289333	-171	171	1	10
['Sudeste, SP, *']	2020-03-28	32	46289333	-183	183	0	16
['Sudeste, SP, *']	2020-03-29	33	46289333	-45	45	43	14
['Sudeste, SP, *']	2020-03-30	34	46289333	-66	66	0	15
['Sudeste, SP, *']	2020-03-31	35	46289333	-822	822	0	23
['Sudeste, SP, *']	2020-04-01	36	46289333	-642	642	33	28
['Sudeste, SP, *']	2020-04-02	37	46289333	-525	525	13	24
['Sudeste, SP, *']	2020-04-03	38	46289333	-542	542	58	31
['Sudeste, SP, *']	2020-04-04	39	46289333	-418	418	10	41
['Sudeste, SP, *']	2020-04-05	40	46289333	-154	154	124	15
['Sudeste, SP, *']	2020-04-06	41	46289333	-246	246	63	29
['Sudeste, SP, *']	2020-04-07	42	46289333	-816	816	0	67
['Sudeste, SP, *']	2020-04-08	43	46289333	-1026	1026	0	57
['Sudeste, SP, *']	2020-04-09	44	46289333	-772	772	87	68
['Sudeste, SP, *']	2020-04-10	45	46289333	-736	736	96	44
['Sudeste, SP, *']	2020-04-11	46	46289333	-203	203	129	20
['Sudeste, SP, *']	2020-04-12	47	46289333	-336	336	18	28
['Sudeste, SP, *']	2020-04-13	48	46289333	-140	140	35	20
['Sudeste, SP, *']	2020-04-14	49	46289333	-476	476	580	87
['Sudeste, SP, *']	2020-04-15	50	46289333	-1672	1672	447	83
['Sudeste, SP, *']	2020-04-16	51	46289333	-525	525	356	75
['Sudeste, SP, *']	2020-04-17	52	46289333	-1273	1273	379	75
['Sudeste, SP, *']	2020-04-18	53	46289333	-1053	1053	284	63
['Sudeste, SP, *']	2020-04-19	54	46289333	-373	373	124	24
['Sudeste, SP, *']	2020-04-20	55	46289333	-313	313	193	22
