Territory	Date	t	N	S(t)	C(t)	I(t)	R(t)	D(t)
['SP, SP, *']	2020-02-25	0	46289333	46289331	2	2	0	0
['SP, SP, *']	2020-02-26	1	46289333	46289330	3	3	0	0
['SP, SP, *']	2020-02-27	2	46289333	46289329	4	4	0	0
['SP, SP, *']	2020-02-28	3	46289333	46289328	5	5	0	0
['SP, SP, *']	2020-02-29	4	46289333	46289327	6	6	0	0
['SP, SP, *']	2020-03-01	5	46289333	46289326	7	7	0	0
['SP, SP, *']	2020-03-02	6	46289333	46289325	8	8	0	0
['SP, SP, *']	2020-03-03	7	46289333	46289325	8	8	0	0
['SP, SP, *']	2020-03-04	8	46289333	46289324	9	9	0	0
['SP, SP, *']	2020-03-05	9	46289333	46289323	10	10	0	0
['SP, SP, *']	2020-03-06	10	46289333	46289321	12	12	0	0
['SP, SP, *']	2020-03-07	11	46289333	46289318	15	15	0	0
['SP, SP, *']	2020-03-08	12	46289333	46289314	19	19	0	0
['SP, SP, *']	2020-03-09	13	46289333	46289310	23	22	1	0
['SP, SP, *']	2020-03-10	14	46289333	46289305	28	26	2	0
['SP, SP, *']	2020-03-11	15	46289333	46289297	36	34	2	0
['SP, SP, *']	2020-03-12	16	46289333	46289286	47	44	3	0
['SP, SP, *']	2020-03-13	17	46289333	46289275	58	54	4	0
['SP, SP, *']	2020-03-14	18	46289333	46289260	73	69	4	0
['SP, SP, *']	2020-03-15	19	46289333	46289246	87	83	4	0
['SP, SP, *']	2020-03-16	20	46289333	46289207	126	122	4	0
['SP, SP, *']	2020-03-17	21	46289333	46289166	167	163	4	0
['SP, SP, *']	2020-03-18	22	46289333	46289106	227	217	9	1
['SP, SP, *']	2020-03-19	23	46289333	46289037	296	280	14	2
['SP, SP, *']	2020-03-20	24	46289333	46288944	389	370	14	5
['SP, SP, *']	2020-03-21	25	46289333	46288858	475	449	18	8
['SP, SP, *']	2020-03-22	26	46289333	46288738	595	565	18	12
['SP, SP, *']	2020-03-23	27	46289333	46288627	706	670	18	18
['SP, SP, *']	2020-03-24	28	46289333	46288510	823	772	26	25
['SP, SP, *']	2020-03-25	29	46289333	46288332	1001	932	31	38
['SP, SP, *']	2020-03-26	30	46289333	46288113	1220	1135	32	53
['SP, SP, *']	2020-03-27	31	46289333	46287869	1464	1362	32	70
['SP, SP, *']	2020-03-28	32	46289333	46287604	1729	1598	43	88
['SP, SP, *']	2020-03-29	33	46289333	46287367	1966	1775	84	107
['SP, SP, *']	2020-03-30	34	46289333	46287088	2245	1962	149	134
['SP, SP, *']	2020-03-31	35	46289333	46286584	2749	2396	187	166
['SP, SP, *']	2020-04-01	36	46289333	46285979	3354	2913	242	199
['SP, SP, *']	2020-04-02	37	46289333	46285278	4055	3510	309	236
['SP, SP, *']	2020-04-03	38	46289333	46284471	4862	4235	348	279
['SP, SP, *']	2020-04-04	39	46289333	46283564	5769	5046	391	332
['SP, SP, *']	2020-04-05	40	46289333	46282620	6713	5855	471	387
['SP, SP, *']	2020-04-06	41	46289333	46281663	7670	6700	528	442
['SP, SP, *']	2020-04-07	42	46289333	46280708	8625	7410	706	509
['SP, SP, *']	2020-04-08	43	46289333	46279643	9690	8141	965	584
['SP, SP, *']	2020-04-09	44	46289333	46278508	10825	8987	1166	672
['SP, SP, *']	2020-04-10	45	46289333	46277317	12016	9960	1292	764
['SP, SP, *']	2020-04-11	46	46289333	46276188	13145	10957	1338	850
['SP, SP, *']	2020-04-12	47	46289333	46275007	14326	11867	1520	939
['SP, SP, *']	2020-04-13	48	46289333	46273856	15477	12247	2204	1026
['SP, SP, *']	2020-04-14	49	46289333	46272802	16531	12207	3205	1119
['SP, SP, *']	2020-04-15	50	46289333	46271563	17770	12447	4104	1219
['SP, SP, *']	2020-04-16	51	46289333	46270395	18938	12683	4934	1321
['SP, SP, *']	2020-04-17	52	46289333	46269074	20259	13222	5605	1432
['SP, SP, *']	2020-04-18	53	46289333	46267510	21823	14271	5997	1555
['SP, SP, *']	2020-04-19	54	46289333	46265935	23398	15382	6339	1677
['SP, SP, *']	2020-04-20	55	46289333	46264311	25022	16106	7116	1800
['SP, SP, *']	2020-04-21	56	46289333	46262593	26740	16447	8379	1914
['SP, SP, *']	2020-04-22	57	46289333	46261201	28132	16382	9734	2016
['SP, SP, *']	2020-04-23	58	46289333	46259723	29610	16610	10843	2157
['SP, SP, *']	2020-04-24	59	46289333	46258299	31034	17134	11576	2324
['SP, SP, *']	2020-04-25	60	46289333	46256553	32780	18302	11961	2517
['SP, SP, *']	2020-04-26	61	46289333	46254711	34622	19634	12275	2713
['SP, SP, *']	2020-04-27	62	46289333	46252678	36655	20950	12767	2938
['SP, SP, *']	2020-04-28	63	46289333	46250205	39128	21776	14141	3211
['SP, SP, *']	2020-04-29	64	46289333	46247278	42055	22812	15714	3529
['SP, SP, *']	2020-04-30	65	46289333	46243861	45472	24469	17180	3823
['SP, SP, *']	2020-05-01	66	46289333	46240276	49057	26167	18782	4108
['SP, SP, *']	2020-05-02	67	46289333	46237085	52248	28007	19870	4371
['SP, SP, *']	2020-05-03	68	46289333	46233926	55407	30289	20482	4636
['SP, SP, *']	2020-05-04	69	46289333	46230929	58404	32219	21312	4873
['SP, SP, *']	2020-05-05	70	46289333	46228068	61265	33758	22405	5102
['SP, SP, *']	2020-05-06	71	46289333	46224727	64606	35754	23522	5330
['SP, SP, *']	2020-05-07	72	46289333	46221518	67815	37072	25176	5567
['SP, SP, *']	2020-05-08	73	46289333	46218245	71088	37911	27351	5826
['SP, SP, *']	2020-05-09	74	46289333	46214463	74870	39230	29522	6118
['SP, SP, *']	2020-05-10	75	46289333	46210557	78776	41192	31157	6427
['SP, SP, *']	2020-05-11	76	46289333	46206573	82760	42413	33609	6738
['SP, SP, *']	2020-05-12	77	46289333	46202668	86665	42614	36999	7052
['SP, SP, *']	2020-05-13	78	46289333	46198884	90449	42506	40584	7359
['SP, SP, *']	2020-05-14	79	46289333	46194782	94551	42894	43981	7676
['SP, SP, *']	2020-05-15	80	46289333	46190054	99279	45094	46199	7986
['SP, SP, *']	2020-05-16	81	46289333	46185262	104071	48294	47482	8295
['SP, SP, *']	2020-05-17	82	46289333	46180433	108900	51734	48564	8602
['SP, SP, *']	2020-05-18	83	46289333	46175594	113739	54352	50476	8911
['SP, SP, *']	2020-05-19	84	46289333	46170372	118961	55483	54225	9253
['SP, SP, *']	2020-05-20	85	46289333	46165011	124322	56115	58598	9609
['SP, SP, *']	2020-05-21	86	46289333	46159453	129880	57638	62278	9964
['SP, SP, *']	2020-05-22	87	46289333	46154169	135164	58951	65886	10327
['SP, SP, *']	2020-05-23	88	46289333	46148633	140700	61100	68885	10715
['SP, SP, *']	2020-05-24	89	46289333	46142971	146362	64397	70855	11110
['SP, SP, *']	2020-05-25	90	46289333	46137097	152236	67602	73125	11509
['SP, SP, *']	2020-05-26	91	46289333	46131376	157957	69124	76959	11874
['SP, SP, *']	2020-05-27	92	46289333	46125769	163564	69020	82285	12259
['SP, SP, *']	2020-05-28	93	46289333	46119447	169886	69130	88091	12665
['SP, SP, *']	2020-05-29	94	46289333	46112394	176939	70348	93497	13094
['SP, SP, *']	2020-05-30	95	46289333	46104799	184534	73868	97147	13519
['SP, SP, *']	2020-05-31	96	46289333	46096931	192402	79172	99296	13934
['SP, SP, *']	2020-06-01	97	46289333	46089025	200308	83613	102348	14347
['SP, SP, *']	2020-06-02	98	46289333	46079803	209530	87142	107592	14796
['SP, SP, *']	2020-06-03	99	46289333	46070089	219244	90059	113942	15243
['SP, SP, *']	2020-06-04	100	46289333	46060565	228768	93052	120021	15695
['SP, SP, *']	2020-06-05	101	46289333	46051134	238199	96294	125762	16143
['SP, SP, *']	2020-06-06	102	46289333	46041589	247744	100970	130195	16579
['SP, SP, *']	2020-06-07	103	46289333	46032053	257280	106805	133459	17016
['SP, SP, *']	2020-06-08	104	46289333	46022540	266793	112329	137013	17451
['SP, SP, *']	2020-06-09	105	46289333	46013442	275891	115847	142156	17888
['SP, SP, *']	2020-06-10	106	46289333	46004061	285272	116816	150115	18341
['SP, SP, *']	2020-06-11	107	46289333	45994541	294792	116074	159924	18794
['SP, SP, *']	2020-06-12	108	46289333	45985017	304316	115680	169406	19230
['SP, SP, *']	2020-06-13	109	46289333	45975781	313552	117208	176679	19665
['SP, SP, *']	2020-06-14	110	46289333	45965744	323589	121682	181799	20108
['SP, SP, *']	2020-06-15	111	46289333	45955211	334122	124831	188732	20559
['SP, SP, *']	2020-06-16	112	46289333	45943740	345593	126370	198204	21019
['SP, SP, *']	2020-06-17	113	46289333	45933683	355650	126210	207947	21493
['SP, SP, *']	2020-06-18	114	46289333	45925081	364252	124738	217535	21979
['SP, SP, *']	2020-06-19	115	46289333	45912579	376754	127135	227107	22512
['SP, SP, *']	2020-06-20	116	46289333	45900317	389016	131536	234421	23059
['SP, SP, *']	2020-06-21	117	46289333	45888608	400725	137693	239432	23600
['SP, SP, *']	2020-06-22	118	46289333	45877033	412300	142485	245682	24133
['SP, SP, *']	2020-06-23	119	46289333	45865836	423497	143917	254894	24686
['SP, SP, *']	2020-06-24	120	46289333	45852320	437013	146242	265562	25209
['SP, SP, *']	2020-06-25	121	46289333	45836332	453001	151299	275946	25756
['SP, SP, *']	2020-06-26	122	46289333	45822946	466387	154223	285913	26251
['SP, SP, *']	2020-06-27	123	46289333	45808721	480612	158807	295049	26756
['SP, SP, *']	2020-06-28	124	46289333	45793706	495627	164638	303733	27256
['SP, SP, *']	2020-06-29	125	46289333	45778514	510819	169474	313585	27760
['SP, SP, *']	2020-06-30	126	46289333	45763684	525649	175205	322200	28244
['SP, SP, *']	2020-07-01	127	46289333	45749080	540253	182266	329264	28723
['SP, SP, *']	2020-07-02	128	46289333	45733768	555565	182507	343880	29178
['SP, SP, *']	2020-07-03	129	46289333	45718908	570425	179301	361452	29672
['SP, SP, *']	2020-07-04	130	46289333	45705494	583839	182335	371337	30167
['SP, SP, *']	2020-07-05	131	46289333	45691653	597680	188660	378356	30664
['SP, SP, *']	2020-07-06	132	46289333	45677960	611373	192520	387693	31160
['SP, SP, *']	2020-07-07	133	46289333	45663295	626038	192805	401584	31649
['SP, SP, *']	2020-07-08	134	46289333	45648601	640732	190412	418169	32151
['SP, SP, *']	2020-07-09	135	46289333	45635019	654314	186424	435234	32656
['SP, SP, *']	2020-07-10	136	46289333	45621135	668198	184508	450535	33155
['SP, SP, *']	2020-07-11	137	46289333	45605604	683729	187091	462996	33642
['SP, SP, *']	2020-07-12	138	46289333	45590799	698534	191570	472816	34148
['SP, SP, *']	2020-07-13	139	46289333	45576074	713259	195366	483238	34655
['SP, SP, *']	2020-07-14	140	46289333	45560674	728659	197394	496082	35183
['SP, SP, *']	2020-07-15	141	46289333	45545871	743462	194783	512967	35712
['SP, SP, *']	2020-07-16	142	46289333	45530919	758414	191484	530669	36261
['SP, SP, *']	2020-07-17	143	46289333	45517118	772215	192909	542492	36814
