t	gamma	gamma_r	gamma_d	beta	N	S	S_	I	I_	R	R_	D	D_	∆S(t)	∆S_(t)	∆I(t)	∆I_(t)	∆R(t)	∆R_(t)	∆D(t)	∆D_(t)
0	0.0	0.0	0.0	0.5000000216032502	46289333	46289331	46289331	2	2	0	0	0	0	-2	-2	2	2	0	0	0	0
1	0.0	0.0	0.0	0.333333354936584	46289333	46289330	46289330.0	3	3.0	0	0.0	0	0.0	-1	-1.0	1	1.0	0	0.0	0	0.0
2	0.0	0.0	0.0	0.25000002160325113	46289333	46289329	46289329.0	4	4.0	0	0.0	0	0.0	-1	-1.0	1	1.0	0	0.0	0	0.0
3	0.0	0.0	0.0	0.20000002160325162	46289333	46289328	46289328.0	5	5.0	0	0.0	0	0.0	-1	-1.0	1	1.0	0	0.0	0	0.0
4	0.0	0.0	0.0	0.16666668826991876	46289333	46289327	46289327.0	6	6.0	0	0.0	0	0.0	-1	-1.0	1	1.0	0	0.0	0	0.0
5	0.0	0.0	0.0	0.1428571644603954	46289333	46289326	46289326.0	7	7.0	0	0.0	0	0.0	-1	-1.0	1	1.0	0	0.0	0	0.0
6	0.0	0.0	0.0	0.0	46289333	46289325	46289325.0	8	8.0	0	0.0	0	0.0	-1	-0.9999999999999999	1	0.9999999999999999	0	0.0	0	0.0
7	0.0	0.0	0.0	0.12500002160325302	46289333	46289325	46289325.0	8	8.0	0	0.0	0	0.0	0	-0.0	0	0.0	0	0.0	0	0.0
8	0.0	0.0	0.0	0.1111111327143646	46289333	46289324	46289324.0	9	9.0	0	0.0	0	0.0	-1	-1.0	1	1.0	0	0.0	0	0.0
9	0.0	0.0	0.0	0.2000000432065079	46289333	46289323	46289323.0	10	10.0	0	0.0	0	0.0	-1	-1.0	1	1.0	0	0.0	0	0.0
10	0.0	0.0	0.0	0.25000006480976467	46289333	46289321	46289321.0	12	12.0	0	0.0	0	0.0	-2	-2.0	2	2.0	0	0.0	0	0.0
11	0.0	0.0	0.0	0.2666667530796918	46289333	46289318	46289318.0	15	15.0	0	0.0	0	0.0	-3	-3.0	3	3.0	0	0.0	0	0.0
12	0.0	0.0	0.0	0.2105264022025063	46289333	46289314	46289314.0	19	19.0	0	0.0	0	0.0	-4	-4.0	4	4.0	0	0.0	0	0.0
13	0.0	0.0	0.0	0.21739141236412618	46289333	46289310	46289310.0	23	23.0	0	0.0	0	0.0	-4	-4.0	4	4.0	0	0.0	0	0.0
14	0.07142857142857142	0.07142857142857142	0.0	0.2857144585403845	46289333	46289305	46289305.0	28	28.0	0	0.0	0	0.0	-5	-5.0	5	5.0	0	0.0	0	0.0
15	0.029411764705882353	0.029411764705882353	0.0	0.32352966337921674	46289333	46289297	46289297.0	34	34.0	2	2.0	0	0.0	-8	-8.0	6	6.0	2	2.0	0	0.0
16	0.0	0.0	0.0	0.2500002538384368	46289333	46289286	46289286.0	44	44.0	3	3.0	0	0.0	-11	-10.999999999999998	10	9.999999999999998	1	1.0	0	0.0
17	0.0	0.0	0.0	0.272727614451826	46289333	46289275	46289275.0	55	55.0	3	3.0	0	0.0	-11	-11.0	11	11.0	0	0.0	0	0.0
