Territory	Date	t	N	S(t)	C(t)	I(t)	R(t)	D(t)
['*, *, *']	2020-02-25	0	211755692	211755690	2	2	0	0
['*, *, *']	2020-02-26	1	211755692	211755689	3	3	0	0
['*, *, *']	2020-02-27	2	211755692	211755688	4	4	0	0
['*, *, *']	2020-02-28	3	211755692	211755687	5	5	0	0
['*, *, *']	2020-02-29	4	211755692	211755686	6	6	0	0
['*, *, *']	2020-03-01	5	211755692	211755685	7	7	0	0
['*, *, *']	2020-03-02	6	211755692	211755684	8	8	0	0
['*, *, *']	2020-03-03	7	211755692	211755684	8	8	0	0
['*, *, *']	2020-03-04	8	211755692	211755683	9	9	0	0
['*, *, *']	2020-03-05	9	211755692	211755681	11	11	0	0
['*, *, *']	2020-03-06	10	211755692	211755678	14	14	0	0
['*, *, *']	2020-03-07	11	211755692	211755673	19	19	0	0
['*, *, *']	2020-03-08	12	211755692	211755667	25	25	0	0
['*, *, *']	2020-03-09	13	211755692	211755661	31	31	0	0
['*, *, *']	2020-03-10	14	211755692	211755653	39	37	2	0
['*, *, *']	2020-03-11	15	211755692	211755642	50	47	3	0
['*, *, *']	2020-03-12	16	211755692	211755619	73	69	4	0
['*, *, *']	2020-03-13	17	211755692	211755595	97	92	5	0
['*, *, *']	2020-03-14	18	211755692	211755562	130	124	6	0
['*, *, *']	2020-03-15	19	211755692	211755525	167	160	7	0
['*, *, *']	2020-03-16	20	211755692	211755453	239	231	8	0
['*, *, *']	2020-03-17	21	211755692	211755369	323	315	8	0
['*, *, *']	2020-03-18	22	211755692	211755236	456	447	8	1
['*, *, *']	2020-03-19	23	211755692	211755079	613	602	8	3
['*, *, *']	2020-03-20	24	211755692	211754849	843	829	8	6
['*, *, *']	2020-03-21	25	211755692	211754573	1119	1101	8	10
['*, *, *']	2020-03-22	26	211755692	211754208	1484	1461	8	15
['*, *, *']	2020-03-23	27	211755692	211753787	1905	1875	8	22
['*, *, *']	2020-03-24	28	211755692	211753303	2389	2350	8	31
['*, *, *']	2020-03-25	29	211755692	211752716	2976	2921	8	47
['*, *, *']	2020-03-26	30	211755692	211752044	3648	3573	8	67
['*, *, *']	2020-03-27	31	211755692	211751308	4384	4286	8	90
['*, *, *']	2020-03-28	32	211755692	211750526	5166	5041	9	116
['*, *, *']	2020-03-29	33	211755692	211749743	5949	5794	9	146
['*, *, *']	2020-03-30	34	211755692	211748911	6781	6568	26	187
['*, *, *']	2020-03-31	35	211755692	211747824	7868	7587	45	236
['*, *, *']	2020-04-01	36	211755692	211746577	9115	8726	100	289
['*, *, *']	2020-04-02	37	211755692	211745117	10575	10059	165	351
['*, *, *']	2020-04-03	38	211755692	211743478	12214	11511	274	429
['*, *, *']	2020-04-04	39	211755692	211741615	14077	13150	402	525
['*, *, *']	2020-04-05	40	211755692	211739543	16149	14926	592	631
['*, *, *']	2020-04-06	41	211755692	211737371	18321	16756	819	746
['*, *, *']	2020-04-07	42	211755692	211735011	20681	18723	1072	886
['*, *, *']	2020-04-08	43	211755692	211732347	23345	20910	1383	1052
['*, *, *']	2020-04-09	44	211755692	211729468	26224	23241	1741	1242
['*, *, *']	2020-04-10	45	211755692	211726404	29288	25705	2139	1444
['*, *, *']	2020-04-11	46	211755692	211723367	32325	28104	2578	1643
['*, *, *']	2020-04-12	47	211755692	211720215	35477	30617	3005	1855
['*, *, *']	2020-04-13	48	211755692	211716902	38790	33246	3466	2078
['*, *, *']	2020-04-14	49	211755692	211713561	42131	35695	4111	2325
['*, *, *']	2020-04-15	50	211755692	211709915	45777	38312	4873	2592
['*, *, *']	2020-04-16	51	211755692	211706222	49470	40800	5791	2879
['*, *, *']	2020-04-17	52	211755692	211702091	53601	43571	6837	3193
['*, *, *']	2020-04-18	53	211755692	211697467	58225	46647	8032	3546
['*, *, *']	2020-04-19	54	211755692	211692710	62982	49674	9404	3904
['*, *, *']	2020-04-20	55	211755692	211687832	67860	52733	10866	4261
['*, *, *']	2020-04-21	56	211755692	211682726	72966	55859	12499	4608
['*, *, *']	2020-04-22	57	211755692	211677753	77939	58591	14403	4945
['*, *, *']	2020-04-23	58	211755692	211672269	83423	61648	16434	5341
['*, *, *']	2020-04-24	59	211755692	211666608	89084	64723	18578	5783
['*, *, *']	2020-04-25	60	211755692	211660227	95465	68533	20664	6268
['*, *, *']	2020-04-26	61	211755692	211653337	102355	72758	22812	6785
['*, *, *']	2020-04-27	62	211755692	211645784	109908	77507	25042	7359
['*, *, *']	2020-04-28	63	211755692	211637226	118466	83202	27242	8022
['*, *, *']	2020-04-29	64	211755692	211627714	127978	89580	29635	8763
['*, *, *']	2020-04-30	65	211755692	211617191	138501	96899	32087	9515
['*, *, *']	2020-05-01	66	211755692	211606227	149465	104276	34897	10292
['*, *, *']	2020-05-02	67	211755692	211595349	160343	111134	38135	11074
['*, *, *']	2020-05-03	68	211755692	211584321	171371	118000	41505	11866
['*, *, *']	2020-05-04	69	211755692	211572489	183203	125556	44988	12659
['*, *, *']	2020-05-05	70	211755692	211560257	195435	133298	48655	13482
['*, *, *']	2020-05-06	71	211755692	211546853	208839	142272	52219	14348
['*, *, *']	2020-05-07	72	211755692	211532704	222988	151542	56158	15288
['*, *, *']	2020-05-08	73	211755692	211517129	238563	162066	60184	16313
['*, *, *']	2020-05-09	74	211755692	211500083	255609	173479	64707	17423
['*, *, *']	2020-05-10	75	211755692	211482462	273230	185039	69597	18594
['*, *, *']	2020-05-11	76	211755692	211465046	290646	195832	74998	19816
['*, *, *']	2020-05-12	77	211755692	211447065	308627	206359	81158	21110
['*, *, *']	2020-05-13	78	211755692	211428662	327030	216484	88089	22457
['*, *, *']	2020-05-14	79	211755692	211409084	346608	226948	95832	23828
['*, *, *']	2020-05-15	80	211755692	211388075	367617	238416	103957	25244
['*, *, *']	2020-05-16	81	211755692	211365951	389741	250988	112079	26674
['*, *, *']	2020-05-17	82	211755692	211343422	412270	263815	120345	28110
['*, *, *']	2020-05-18	83	211755692	211318517	437175	278345	129215	29615
['*, *, *']	2020-05-19	84	211755692	211291605	464087	294516	138388	31183
['*, *, *']	2020-05-20	85	211755692	211262080	493612	312354	148425	32833
